plate_number,first_seen,frame_count
12345678,2026-06-09T22:05:48,54
12345 678,2026-06-09T22:06:02,8
42345678,2026-06-09T22:06:06,2
1234567,2026-06-09T22:06:46,10
4234567,2026-06-09T22:06:47,2
601,2026-06-09T22:07:19,8
49347 601,2026-06-09T22:07:19,2
493 47601,2026-06-09T22:07:20,2
493,2026-06-09T22:08:12,2
493 67 601,2026-06-09T22:09:35,2
49347601,2026-06-09T22:09:36,4
49347-601,2026-06-09T22:09:46,4
98 898 36,2026-06-09T22:10:09,2
88 888 36,2026-06-09T22:10:20,2
13401,2026-06-09T22:10:57,2
403 13 401,2026-06-09T22:10:57,16
0,2026-06-09T22:10:59,4
403 13 601,2026-06-09T22:10:59,2
M,2026-06-09T22:11:03,2
403,2026-06-09T22:11:03,6
L403,2026-06-09T22:11:04,2
13 401 1403,2026-06-09T22:11:04,4
L,2026-06-09T22:11:05,4
D,2026-06-09T22:11:05,4
13 L,2026-06-09T22:11:07,2
003 7713 4O1,2026-06-09T22:11:08,2
603,2026-06-09T22:11:08,8
403 713 4017,2026-06-09T22:11:09,2
13,2026-06-09T22:11:09,18
773 41,2026-06-09T22:11:09,2
LO3 73 401,2026-06-09T22:11:10,2
13 601,2026-06-09T22:11:10,2
1403,2026-06-09T22:11:11,2
13 401,2026-06-09T22:11:12,2
40313 407,2026-06-09T22:11:16,4
40313 401,2026-06-09T22:11:18,6
403 13 407,2026-06-09T22:11:20,2
4O313 407,2026-06-09T22:11:20,2
40313401,2026-06-09T22:11:21,2
